CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,BARRIO,COD_DISTRITO,NOM_DISTRITO
59107,PNTE,PUENTE DEL MEDITERRANEO ,1,1,CIUDAD JARD�N ,3,CIUDAD JARDIN 
59107,PNTE,PUENTE DEL MEDITERRANEO ,2,2,HERRERA ORIA,3,CIUDAD JARDIN 
59106,PNTE,PUENTE DEL PERCHEL,1,1,ENSANCHE CENTRO ,1,CENTRO
59106,PNTE,PUENTE DEL PERCHEL,2,2,ENSANCHE CENTRO ,1,CENTRO
21622,CMNO,PUENTE DEL REY,1,25,LA LOMA ,8,CHURRIANA 
21622,CMNO,PUENTE DEL REY,27,49,DSMO DM CHURRIANA ,8,CHURRIANA 
21622,CMNO,PUENTE DEL REY,2,16,LA LOMA ,8,CHURRIANA 
21622,CMNO,PUENTE DEL REY,18,66,DSMO DM CHURRIANA ,8,CHURRIANA 
21622,CMNO,PUENTE DEL REY,68,68,AEROPUERTO BASE AEREA ,8,CHURRIANA 
21622,CMNO,PUENTE DEL REY,70,70,DSMO DM CHURRIANA ,8,CHURRIANA 
82288,DSMO,PUENTE DEL REY,1,13,DSMO DM CHURRIANA ,8,CHURRIANA 
82288,DSMO,PUENTE DEL REY,2,12,DSMO DM CHURRIANA ,8,CHURRIANA 
59094,CL,PUENTE LAPICE ,1,1,PLAYAS DEL PALO ,2,ESTE
59094,CL,PUENTE LAPICE ,2,6,PLAYAS DEL PALO ,2,ESTE
59164,CL,PUERTA BUENAVENTURA ,1,3,CENTRO HISTORICO,1,CENTRO
59164,CL,PUERTA BUENAVENTURA ,2,6,CENTRO HISTORICO,1,CENTRO
59136,CL,PUERTA DE ANTEQUERA ,1,1,CENTRO HISTORICO,1,CENTRO
59136,CL,PUERTA DE ANTEQUERA ,2,4,CENTRO HISTORICO,1,CENTRO
59192,CL,PUERTA DEL MAR,1,15,CENTRO HISTORICO,1,CENTRO
59192,CL,PUERTA DEL MAR,2,20,CENTRO HISTORICO,1,CENTRO
59220,CL,PUERTA NUEVA,1,5,CENTRO HISTORICO,1,CENTRO
59220,CL,PUERTA NUEVA,2,4,CENTRO HISTORICO,1,CENTRO
59248,CL,PUERTO,1,15,LA MALAGUETA,1,CENTRO
59248,CL,PUERTO,2,14,LA MALAGUETA,1,CENTRO
59262,CL,PUERTO DE LAS ENCINAS ,1,9,DOS HERMANAS,7,CARRETERA DE CADIZ
59262,CL,PUERTO DE LAS ENCINAS ,2,12,DOS HERMANAS,7,CARRETERA DE CADIZ
59276,CL,PUERTO DE LOS PINOS ,1,5,DOS HERMANAS,7,CARRETERA DE CADIZ
59276,CL,PUERTO DE LOS PINOS ,2,26,DOS HERMANAS,7,CARRETERA DE CADIZ
59290,CL,PUERTO DEL ESPINO ,1,5,SIXTO ,7,CARRETERA DE CADIZ
59290,CL,PUERTO DEL ESPINO ,2,8,SIXTO ,7,CARRETERA DE CADIZ
61880,CL,PUERTO DEL LEON ,1,13,GRANJA SUAREZ ,4,BAILEN-MIRAFLORES 
61880,CL,PUERTO DEL LEON ,2,12,GRANJA SUAREZ ,4,BAILEN-MIRAFLORES 
80751,DSMO,PUERTO DEL LEON ,1,1,DSMO DM ESTE,2,ESTE
21746,CRIL,PUERTO HONDO,1,23,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
21746,CRIL,PUERTO HONDO,2,32,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
80630,DSMO,PUERTO LAS BOLINAS,1,3,DSMO DM ESTE,2,ESTE
80630,DSMO,PUERTO LAS BOLINAS,2,2,DSMO DM ESTE,2,ESTE
81725,DSMO,PUERTO LAS PALMAS ,1,1,DSMO DM PALMA-PALMILLA,5,PALMA-PALMILLA
81725,DSMO,PUERTO LAS PALMAS ,2,2,DSMO DM PALMA-PALMILLA,5,PALMA-PALMILLA
59297,CL,PUERTO ONCALA ,1,15,NUEVO SAN ANDRES 1,7,CARRETERA DE CADIZ
59297,CL,PUERTO ONCALA ,17,17,EL DUENDE ,6,CRUZ DE HUMILLADERO 
59297,CL,PUERTO ONCALA ,2,22,NUEVO SAN ANDRES 1,7,CARRETERA DE CADIZ
59297,CL,PUERTO ONCALA ,24,24,EL DUENDE ,6,CRUZ DE HUMILLADERO 
59304,CL,PUERTO PAREJO ,1,7,CRISTO DE LA EPIDEMIA ,1,CENTRO
59304,CL,PUERTO PAREJO ,9,19,EL EJIDO,1,CENTRO
59304,CL,PUERTO PAREJO ,2,18,CRISTO DE LA EPIDEMIA ,1,CENTRO
59305,CL,PUERTO RICO ,1,1,COMERCIAL VILLAROSA ,8,CHURRIANA 
59305,CL,PUERTO RICO ,2,4,COMERCIAL VILLAROSA ,8,CHURRIANA 
82536,DSMO,PUERTOLLANO ,1,1,DISEMINADO DM P DE LA TORRE ,10,PUERTO DE LA TORRE
63448,CL,PUJERRA ,1,25,GIRON ,7,CARRETERA DE CADIZ
63448,CL,PUJERRA ,2,24,GIRON ,7,CARRETERA DE CADIZ
59360,CL,PULGAR,1,13,LA PRINCESA ,7,CARRETERA DE CADIZ
59360,CL,PULGAR,2,32,LA PRINCESA ,7,CARRETERA DE CADIZ
59388,CL,PULGARIN ALTO ,1,15,MANGAS VERDES ,3,CIUDAD JARDIN 
59388,CL,PULGARIN ALTO ,2,16,MANGAS VERDES ,3,CIUDAD JARDIN 
59416,CL,PULGARIN BAJO ,1,57,MANGAS VERDES ,3,CIUDAD JARDIN 
59416,CL,PULGARIN BAJO ,2,64,MANGAS VERDES ,3,CIUDAD JARDIN 
59444,CL,PULIDERO,1,9,PERCHEL NORTE ,1,CENTRO
59444,CL,PULIDERO,2,4,PERCHEL NORTE ,1,CENTRO
24377,CL,PUNTA ALTA,1,59,PARQ EMP SAN LUIS ,6,CRUZ DE HUMILLADERO 
24377,CL,PUNTA ALTA,2,60,PARQ EMP SAN LUIS ,6,CRUZ DE HUMILLADERO 
59458,CL,PUNTO ,1,7,LA PELUSA ,2,ESTE
59458,CL,PUNTO ,2,8,LA PELUSA ,2,ESTE
59472,CL,PURA GUTIERREZ,1,5,CIUDAD JARD�N ,3,CIUDAD JARDIN 
59472,CL,PURA GUTIERREZ,2,12,CIUDAD JARD�N ,3,CIUDAD JARDIN 
59500,CL,PURIFICACION,1,9,LA GOLETA ,1,CENTRO
59500,CL,PURIFICACION,2,10,LA GOLETA ,1,CENTRO
59528,AV,PURISIMA,1,7,HAZA DEL CAMPILLO ,4,BAILEN-MIRAFLORES 
59528,AV,PURISIMA,2,6,HAZA DEL CAMPILLO ,4,BAILEN-MIRAFLORES 
